epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.66,1.07394,0.9479,1.31767,0.65291,0.62437,0.6597,0.4378,1.12791,1.22665,1.42815,0.000664745,0.000664745,0.000664745
2,250.152,1.11347,0.80269,1.3342,0.82068,0.78173,0.86428,0.54546,1.10285,0.94506,1.38754,0.00130505,0.00130505,0.00130505
3,369.965,1.08832,0.76906,1.30706,0.90411,0.8934,0.92993,0.63407,1.00291,0.76656,1.35782,0.00191895,0.00191895,0.00191895
4,489.444,1.03997,0.70496,1.27967,0.8087,0.60086,0.72125,0.43261,1.35763,1.17283,1.8047,0.0018812,0.0018812,0.0018812
5,611.866,0.95973,0.62678,1.22695,0.93723,0.91371,0.95504,0.70482,0.86212,0.59121,1.22212,0.0018416,0.0018416,0.0018416
6,734.669,0.90733,0.58543,1.19505,0.92019,0.8934,0.9577,0.73536,0.78041,0.49968,1.16427,0.001802,0.001802,0.001802
7,857.054,0.88384,0.55547,1.17854,0.9373,0.91878,0.95733,0.73615,0.76027,0.50273,1.13558,0.0017624,0.0017624,0.0017624
8,977.325,0.85321,0.53154,1.16092,0.92311,0.90863,0.96661,0.73332,0.80179,0.50184,1.16506,0.0017228,0.0017228,0.0017228
9,1100.24,0.83132,0.51697,1.14757,0.93776,0.93401,0.9629,0.76542,0.71283,0.45213,1.1198,0.0016832,0.0016832,0.0016832
10,1220.74,0.80119,0.49771,1.1297,0.95672,0.89774,0.96519,0.7634,0.71598,0.46341,1.13308,0.0016436,0.0016436,0.0016436
11,1340.3,0.79288,0.48558,1.12508,0.93658,0.89958,0.94912,0.74248,0.72469,0.45896,1.14868,0.001604,0.001604,0.001604
12,1459.93,0.77216,0.46475,1.11667,0.96029,0.94924,0.97975,0.78777,0.68338,0.40185,1.10767,0.0015644,0.0015644,0.0015644
13,1579.7,0.76566,0.46005,1.11359,0.94305,0.91371,0.95541,0.77306,0.68414,0.46139,1.10427,0.0015248,0.0015248,0.0015248
14,1701.42,0.75274,0.45077,1.10602,0.92959,0.94416,0.9681,0.776,0.68043,0.45184,1.08567,0.0014852,0.0014852,0.0014852
15,1822.95,0.73044,0.43801,1.09228,0.93878,0.9341,0.97314,0.79917,0.63843,0.38693,1.07838,0.0014456,0.0014456,0.0014456
16,1942.7,0.72642,0.43055,1.09195,0.9639,0.94883,0.97892,0.78996,0.67863,0.38944,1.10739,0.001406,0.001406,0.001406
17,2062.29,0.71159,0.43004,1.08538,0.94271,0.93909,0.97046,0.78333,0.67124,0.41125,1.10178,0.0013664,0.0013664,0.0013664
18,2185.76,0.70529,0.41702,1.0801,0.96833,0.95431,0.97981,0.80319,0.65262,0.36044,1.09193,0.0013268,0.0013268,0.0013268
19,2307.25,0.68176,0.4132,1.06665,0.96478,0.97342,0.98173,0.81656,0.60563,0.35609,1.06359,0.0012872,0.0012872,0.0012872
20,2426.71,0.68053,0.40209,1.06375,0.95569,0.92893,0.96224,0.7696,0.65544,0.3651,1.11233,0.0012476,0.0012476,0.0012476
21,2546.23,0.67147,0.40399,1.0617,0.92663,0.9616,0.97417,0.79146,0.63301,0.37833,1.07008,0.001208,0.001208,0.001208
22,2666.2,0.66135,0.39153,1.05649,0.94891,0.94273,0.97632,0.8007,0.62109,0.37226,1.05025,0.0011684,0.0011684,0.0011684
23,2791.21,0.66528,0.39013,1.06015,0.95352,0.93716,0.97444,0.80452,0.63463,0.36883,1.088,0.0011288,0.0011288,0.0011288
24,2916.72,0.65524,0.39066,1.05465,0.96336,0.93437,0.96913,0.79981,0.63366,0.39545,1.0642,0.0010892,0.0010892,0.0010892
25,3036.83,0.64119,0.37847,1.04392,0.94441,0.94858,0.97336,0.81258,0.61987,0.35882,1.05111,0.0010496,0.0010496,0.0010496
26,3156.66,0.6377,0.37395,1.04515,0.97089,0.93401,0.96667,0.78874,0.64094,0.38822,1.08309,0.00101,0.00101,0.00101
27,3276.21,0.62977,0.36636,1.0416,0.94313,0.92602,0.96145,0.80513,0.59904,0.37494,1.04138,0.0009704,0.0009704,0.0009704
28,3396.86,0.62208,0.36203,1.03781,0.96361,0.94094,0.98213,0.82304,0.61366,0.33097,1.04952,0.0009308,0.0009308,0.0009308
29,3520.78,0.61286,0.35907,1.03136,0.98904,0.91617,0.97721,0.80469,0.62454,0.35172,1.08005,0.0008912,0.0008912,0.0008912
30,3644.74,0.60403,0.3548,1.03043,0.96426,0.9586,0.97874,0.81107,0.61014,0.33855,1.07142,0.0008516,0.0008516,0.0008516
31,3764.45,0.60132,0.35202,1.02393,0.9565,0.95431,0.97652,0.82089,0.58397,0.33673,1.04119,0.000812,0.000812,0.000812
32,3884.1,0.58895,0.34441,1.0203,0.93534,0.94416,0.97637,0.82347,0.59568,0.33961,1.05912,0.0007724,0.0007724,0.0007724
33,4004.18,0.59259,0.34404,1.02286,0.97407,0.95326,0.98484,0.83236,0.59034,0.31649,1.03882,0.0007328,0.0007328,0.0007328
34,4125.87,0.57707,0.3404,1.01877,0.94661,0.94924,0.96807,0.80374,0.60433,0.34751,1.04987,0.0006932,0.0006932,0.0006932
35,4250,0.57311,0.33661,1.01445,0.95808,0.92821,0.97259,0.81379,0.59259,0.3437,1.04076,0.0006536,0.0006536,0.0006536
36,4371.72,0.56201,0.32522,1.00861,0.95351,0.93696,0.96703,0.80909,0.57858,0.33249,1.02086,0.000614,0.000614,0.000614
37,4490.87,0.55974,0.32313,1.00792,0.94294,0.95939,0.97262,0.81505,0.58821,0.35359,1.03637,0.0005744,0.0005744,0.0005744
38,4610.21,0.55044,0.32059,1.00585,0.94187,0.95431,0.97615,0.82013,0.59563,0.33522,1.04401,0.0005348,0.0005348,0.0005348
39,4729.73,0.54531,0.31565,0.99664,0.96844,0.93909,0.97243,0.80934,0.59295,0.32175,1.03316,0.0004952,0.0004952,0.0004952
40,4853.12,0.53447,0.31004,0.99332,0.94067,0.93909,0.95699,0.79485,0.59951,0.33216,1.06277,0.0004556,0.0004556,0.0004556
41,4977.96,0.52539,0.30548,0.99037,0.95613,0.93401,0.9703,0.7972,0.59121,0.31226,1.06897,0.000416,0.000416,0.000416
42,5098.44,0.52572,0.30528,0.99574,0.95846,0.937,0.96258,0.80927,0.58591,0.31562,1.0597,0.0003764,0.0003764,0.0003764
43,5217.55,0.50869,0.29726,0.98339,0.94393,0.94416,0.96398,0.80835,0.5796,0.32587,1.04055,0.0003368,0.0003368,0.0003368
44,5336.96,0.50546,0.29712,0.9815,0.95101,0.94416,0.96165,0.81737,0.55834,0.32973,1.01584,0.0002972,0.0002972,0.0002972
45,5457.84,0.50387,0.29288,0.98575,0.9635,0.93789,0.96619,0.80844,0.58342,0.32999,1.0452,0.0002576,0.0002576,0.0002576
46,5581.72,0.49652,0.29066,0.98379,0.95338,0.93426,0.96438,0.80648,0.57758,0.31393,1.04545,0.000218,0.000218,0.000218
47,5705.59,0.49303,0.28818,0.9774,0.96853,0.93737,0.97376,0.82173,0.5717,0.32198,1.03428,0.0001784,0.0001784,0.0001784
48,5824.78,0.48487,0.28128,0.97732,0.96325,0.93132,0.97028,0.80455,0.58248,0.32182,1.04565,0.0001388,0.0001388,0.0001388
49,5943.64,0.47267,0.27959,0.96848,0.96376,0.93909,0.97139,0.81027,0.57093,0.30624,1.03477,9.92e-05,9.92e-05,9.92e-05
50,6063.67,0.47175,0.27647,0.96978,0.95844,0.93655,0.97508,0.81684,0.56517,0.307,1.02607,5.96e-05,5.96e-05,5.96e-05
